,id,main_code,statistics_main_code,name,advisor,trustee,operate_mode_id,operate_mode,underlying_asset_type_id,underlying_asset_type,invest_style_id,invest_style,start_date,end_date
748,1613,002498,002498,兴业聚鑫灵活配置混合,兴业基金管理有限公司,招商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-04-25,
749,1616,002502,002502,中银腾利混合,中银基金管理有限公司,中信银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-06-21,
750,1617,002504,002504,鹏华金鼎混合,鹏华基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2018-10-19,
751,1621,002512,,长城久润混合,长城基金管理有限公司,中国农业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-04-26,
752,1624,002518,002518,民生加银鑫福混合,民生加银基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-08-22,
753,1633,002535,002535,中银鑫利混合,中银基金管理有限公司,兴业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-03-24,
754,1637,002542,,长城久鼎混合,长城基金管理有限公司,中国银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-07-21,
755,1638,002543,002543,长城久益混合,长城基金管理有限公司,招商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2018-11-02,
756,1640,002547,,民生养老服务,民生加银基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-10-21,
757,1646,050014,050014,博时创业成长混合,博时基金管理有限公司,中国农业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2010-06-01,
758,1649,002560,,诺安和鑫,诺安基金管理有限公司,交通银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-04-28,
759,1650,002561,002561,东吴安鑫量化混合,东吴基金管理有限公司,江苏银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-06-03,
760,1651,002562,,泓德泓益混合,泓德基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-04-26,
761,1653,002564,,新沃通盈,新沃基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-09-22,
762,1655,002567,,大成国安,大成基金管理有限公司,中国农业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-05-04,
763,1660,002573,,建信汇利灵活配置混合,建信基金管理有限责任公司,兴业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-04-28,
764,1661,002574,002574,招商瑞庆混合,招商基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-08-24,
765,1663,002577,,南方新兴混合,南方基金管理股份有限公司,中国工商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-05-03,
766,1667,290012,290012,泰信行业精选混合,泰信基金管理有限公司,中信银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2015-03-04,
767,1668,002584,,富安达长盈混合,富安达基金管理有限公司,上海浦东发展银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-05-11,
